probe,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,direction
8055426,MCM6,-1.7263400000000013,9.22223,-20.09753252317346,1.8901295105452137e-07,2.951661442197503e-05,Down
8103932,CENPU,-1.2353433333333315,9.891261666666665,-20.086905037493626,1.8970344134014043e-07,2.951661442197503e-05,Down
8027431,ZNF536,3.0457000000000014,9.069483333333332,19.897023737298504,2.0253868562035106e-07,3.0995107933747325e-05,Up
8091306,PLSCR4,1.2453966666666658,7.752321666666667,19.8964691191586,2.0257759938769426e-07,3.0995107933747325e-05,Up
8089875,POLQ,-1.6530833333333332,7.754491666666667,-19.889396945576618,2.0307455393406238e-07,3.0995107933747325e-05,Down
8090098,,2.248323333333334,8.975651666666666,19.870872656831786,2.0438284185522605e-07,3.0995107933747325e-05,Up
8058390,RAPH1,-1.3566033333333356,9.293785,-19.86509861012384,2.0479260041797543e-07,3.0995107933747325e-05,Down
8102328,CFI,1.5893133333333334,8.11921,19.851733696202434,2.057446488696714e-07,3.0995107933747325e-05,Up
8003204,GINS2,-1.9664733333333295,11.077296666666667,-19.828899670527864,2.0738293312494744e-07,3.0995107933747325e-05,Down
8014063,EVI2B,-2.3929699999999987,6.973025,-19.826618305114238,2.0754743137981503e-07,3.0995107933747325e-05,Down
7906995,UCK2,-1.5293000000000063,10.687283333333335,-19.826117829937452,2.0758353813333496e-07,3.0995107933747325e-05,Down
7925662,,-1.4234433333333323,8.347021666666667,-19.752579366947174,2.129676906987911e-07,3.165707677320379e-05,Down
8151432,,1.7309933333333307,8.349303333333333,19.731211086506544,2.1456192093419464e-07,3.175230347264835e-05,Up
7971905,PCDH20,2.6203366666666645,7.566218333333334,19.675377638562537,2.1879215467022196e-07,3.186366814391265e-05,Up
7986509,,1.8197033333333341,9.884115,19.67081190602664,2.191422652177673e-07,3.186366814391265e-05,Up
7986512,,1.8197033333333341,9.884115,19.67081190602664,2.191422652177673e-07,3.186366814391265e-05,Up
7986527,,1.8197033333333341,9.884115,19.67081190602664,2.191422652177673e-07,3.186366814391265e-05,Up
7940582,BEST1,2.6824933333333325,8.075043333333333,19.632432320704638,2.2211069326230243e-07,3.215486849371689e-05,Up
